Shape Bank                                       n= 54 1-2 2★             38 ms {"not-unique":1,"ok":1}
Size Separation                                  n=  5 5-7 6★            129 ms {"ok":1}
Delta+Gemini                                     n=  5 1-2 2★            114 ms {"not-unique":7,"ok":1}
Delta+Gemini                                     n=  5 5-7 5★           1297 ms {"not-unique":7,"stars":11,"ok":1}
Boxy+Rose                                        n=  4 1-2 2★             59 ms {"ok":1}
Boxy+Rose                                        n=  4 5-7 6★            191 ms {"no-partition":1,"ok":1}
Delta+Gemini+Polyomino                           n=  4 1-2 2★             40 ms {"ok":1}
Delta+Gemini+Polyomino                           n=  4 5-7 3★ missed     537 ms {"stars":30}
Gemini+Polyomino                                 n=  4 1-2 2★             68 ms {"ok":1}
Gemini+Polyomino                                 n=  4 5-7 3★ missed     725 ms {"stars":29,"not-unique":1}
Mismatch+Rose                                    n=  4 1-2 2★             77 ms {"ok":1}
Mismatch+Rose                                    n=  4 5-7 5★            301 ms {"stars":5,"ok":1}
Palisade+Rose                                    n=  4 1-2 1★             11 ms {"ok":1}
Palisade+Rose                                    n=  4 5-7 1★ missed     360 ms {"stars":30}
Area Number+Minimum                              n=  4 1-2 2★            276 ms {"not-unique":1,"ok":1}
Area Number+Minimum                              n=  4 5-7 7★            597 ms {"ok":1}
Minimum+Polyomino                                n=  4 1-2 2★            103 ms {"ok":1}
Minimum+Polyomino                                n=  4 5-7 4★ missed    2146 ms {"stars":30}
Area Number+Range                                n=  4 1-2 2★            276 ms {"not-unique":1,"ok":1}
Area Number+Range                                n=  4 5-7 7★            591 ms {"ok":1}
Polyomino+Size Separation                        n=  4 1-2 2★             33 ms {"no-partition":1,"ok":1}
Polyomino+Size Separation                        n=  4 5-7 2★ missed     239 ms {"stars":30}
Area Number+Polyomino+Solitude                   n=  4 1-2 2★             59 ms {"ok":1}
Area Number+Polyomino+Solitude                   n=  4 5-7 3★ missed      75 ms {"stars":30}
Area Number+Palisade+Polyomino+Solitude          n=  4 1-2 2★             57 ms {"ok":1}
Area Number+Palisade+Polyomino+Solitude          n=  4 5-7 4★ missed     152 ms {"stars":28,"no-clues":2}
Mingle+Rose                                      n=  4 1-2 2★             35 ms {"ok":1}
Mingle+Rose                                      n=  4 5-7 5★            235 ms {"stars":6,"no-partition":2,"ok":1}
Gemini+Precision                                 n=  4 1-2 2★            101 ms {"ok":1}
Gemini+Precision                                 n=  4 5-7 6★            248 ms {"ok":1}
Area Number+Polyomino                            n=  3 1-2 2★             75 ms {"ok":1}
Area Number+Polyomino                            n=  3 5-7 6★            121 ms {"ok":1}
Area Number+Rose                                 n=  3 1-2 2★            220 ms {"not-unique":2,"ok":1}
Area Number+Rose                                 n=  3 5-7 6★           1214 ms {"stars":2,"ok":1}
Boxy+Precision                                   n=  3 1-2 2★             17 ms {"no-partition":1,"ok":1}
Boxy+Precision                                   n=  3 5-7 2★ missed     232 ms {"no-partition":7,"stars":23}
Area Number+Boxy                                 n=  3 1-2 2★             10 ms {"not-unique":1,"ok":1}
Area Number+Boxy                                 n=  3 5-7 2★ missed     375 ms {"no-partition":1,"stars":29}
Boxy+Mismatch                                    n=  3 1-2 2★            770 ms {"no-partition":8,"not-logical":3,"ok":1}
Boxy+Mismatch                                    n=  3 5-7 3★ missed    2137 ms {"no-partition":11,"not-logical":9,"stars":9,"not-unique":1}
Boxy+Palisade+Solitude                           n=  3 1-2 2★             15 ms {"ok":1}
Boxy+Palisade+Solitude                           n=  3 5-7 4★ missed      84 ms {"no-partition":1,"stars":29}
Boxy+Mismatch+Palisade                           n=  3 1-2 2★            354 ms {"no-partition":7,"ok":1}
Boxy+Mismatch+Palisade                           n=  3 5-7 5★            418 ms {"no-partition":7,"stars":1,"ok":1}
Maximum+Rose                                     n=  3 1-2 2★             33 ms {"ok":1}
